acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
-0.025670907,0.480000913,0.656031966,0.027134746,-0.043363269,-0.021906542,42:06.9,77.5,28,-0.079974748,0.777785987,0.765939206,-0.026566677,-0.048618644,-0.082685206,42:22.0,14.5,63.6,01:03.6,2,
-0.362848401,0.357876271,0.616309345,-0.030592024,0.032689456,-0.004802315,42:07.4,78,29,-0.22350968,0.606495857,0.768863559,-0.023206919,0.647767723,0.5969024,42:23.1,15,64.6,01:04.6,5,
-0.097993754,0.741245747,0.639704227,-0.040976733,0.015279796,0.135085821,42:08.0,78.5,30,-0.085898802,0.737361044,0.65420419,-0.094220012,0.208708338,0.152803343,42:24.2,15.5,65.7,01:05.7,5,
0.158802062,0.53195858,0.727678776,-0.076406926,-0.916900575,-0.835273623,42:08.5,79.1,31,-0.067509547,0.710896671,0.659565508,-0.036645956,-0.090921059,-0.059319608,42:25.2,16.1,66.8,01:06.8,5,
0.177227959,0.582702219,0.725972891,-0.006157413,-0.424543202,-0.467532724,42:09.0,79.6,32,-0.24905717,0.810320199,0.357259579,-0.065356627,-0.04831321,-0.086961258,42:26.3,16.6,67.9,01:07.9,5,
0.037579119,0.650198519,0.779098809,-0.010433465,-0.293207169,-0.30320996,42:09.6,80.2,33,-0.022351289,0.715266913,0.694170505,-0.021679759,0.002235888,-0.002356425,42:27.4,17.2,69,01:09.0,5,
-0.403329462,0.624948084,0.893880069,-0.066327646,0.888817072,0.972887516,42:10.1,80.7,34,-0.027645593,0.804250389,0.727678806,-0.029468291,0.032779151,0.036128083,42:28.5,17.7,70,01:10.0,5,
0.031033078,0.503066182,0.679914176,-0.040976733,0.234885857,0.372712433,42:10.7,81.2,35,-0.09540198,0.638423085,0.739254385,-0.022748776,0.072943542,0.048956253,42:29.6,18.2,71.1,01:11.1,5,
-0.051094979,0.629803956,0.684544504,-0.006768286,0.000619029,-0.08726912,42:11.2,81.8,36,-0.041221555,0.715266943,0.61801523,-0.006560847,0.063933279,0.019940156,42:30.6,18.8,72.2,01:12.2,5,
0.031517968,0.635630965,0.702578008,-0.00218679,-0.061689224,-0.072608359,42:11.7,82.3,37,-0.038259526,0.70555523,0.679548681,-0.017403699,0.057213759,0.051094286,42:31.7,19.3,73.3,01:13.3,5,
0.097948149,0.584644556,0.723292232,-0.045558229,-0.009154815,0.027573543,42:12.3,82.9,38,0.125021375,0.68066901,0.689540267,-0.035118788,-0.112606775,-0.078103721,42:32.8,19.9,74.3,01:14.3,3,
-0.043443073,0.670350313,0.744493842,-0.075796068,-0.035727452,-0.002969719,42:12.8,83.4,39,0.123283748,0.614022404,0.769350946,-0.038631268,-0.732024133,-0.770519465,42:33.9,20.4,75.4,01:15.4,2,
0.022789916,0.627861619,0.508595347,-0.045863658,-0.057413168,-0.046952017,42:13.4,83.9,40,-0.325082541,0.581366837,0.674187362,-0.066120207,0.553389043,0.545131549,42:34.9,20.9,76.5,01:16.5,2,
