acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label
-0.051588651,-0.03883737,0.958947122,0.00152047,-0.000422957,-0.003936303,39:51.4,22.7,28,-0.068867147,-0.104571421,0.985022604,0.169545203,-0.002884074,-0.035855138,40:06.3,14.3,44.2,00:44.2,5
-0.051835485,-0.038596142,0.957484901,0.001149297,0.001413124,-0.002654376,39:52.0,23.3,29,-0.003374156,-0.050898666,0.929581642,0.017897915,-0.015406812,-0.064565802,40:07.3,14.9,45.2,00:45.2,5
-0.051094979,-0.038596142,0.958947122,0.001696452,-0.000415585,-0.001950163,39:52.5,23.8,30,0.004030913,-0.029308947,0.925560623,0.038514622,0.029033634,-0.04730886,40:08.4,15.4,46.3,00:46.3,5
-0.050601307,-0.035942659,0.959678233,-0.001327753,0.000193819,-0.00095903,39:53.0,24.3,31,-0.10564566,-0.041973304,1.04692167,-0.037079956,0.013914719,0.07608592,40:09.5,15.9,47.3,00:47.3,5
-0.050354473,-0.03521898,0.958947122,0.002264567,0.001653526,-0.001202129,39:53.6,24.9,32,0.033335127,0.019693614,0.800178587,0.210015044,0.005209891,-0.083808057,40:10.5,16.5,48.4,00:48.4,5
-0.053563334,-0.03401285,0.959921837,0.000112236,0.001593365,-0.00176266,39:54.1,25.4,33,-0.082072855,-0.077915965,0.927510232,0.014232723,-0.023042628,0.013930373,40:11.6,17,49.5,00:49.5,5
-0.047392443,-0.025087493,0.96284622,0.002785951,6.90E-05,-0.001327902,39:54.6,25.9,34,0.03025019,-0.143770635,0.976980656,0.03042065,0.039876492,-0.010351516,40:12.6,17.5,50.5,00:50.5,5
-0.0533165,-0.026776075,0.960652947,-0.000829741,-0.002015166,-0.003655755,39:55.2,26.5,35,-0.077629806,-0.053929629,1.102119029,-0.135123827,-0.044270195,-0.023332406,40:13.7,18.1,51.6,00:51.6,5
-0.035544332,-0.014956006,0.96357733,-0.00313887,0.080593936,-0.000831211,39:55.7,27,36,-0.001911206,-0.10662185,0.951636195,-0.110383775,-0.000593329,-0.014169421,40:14.7,18.6,52.6,00:52.6,5
-0.0533165,-0.036907561,0.960896671,-0.000972532,0.000551568,-0.000182719,39:56.2,27.5,37,-0.055044351,-0.089374196,0.97856468,-0.091446973,-0.033427336,0.01606841,40:15.8,19.1,53.7,00:53.7,5
-0.054550678,-0.049451306,0.955291629,0.00380411,-0.005066515,-0.003689373,39:56.7,28,38,-0.081949435,-0.031359365,1.218240499,-0.130695056,0.011165826,-0.089611277,40:16.8,19.6,54.7,00:54.7,5
-0.05800638,-0.029912012,0.961140394,0.001075558,-0.00428695,-0.001204384,39:57.3,28.6,39,-0.023650806,-0.092027675,1.068366975,-0.027916977,0.018343492,0.005836416,40:17.9,20.2,55.8,00:55.8,5
-0.070841834,-0.048003953,0.96284622,-0.004411101,-0.003919468,0.002653851,39:57.8,29.1,40,-0.047515864,0.009629495,1.076774478,-0.050824424,0.045221563,-0.031426361,40:19.0,20.7,56.8,00:56.8,5
-0.043196239,-0.061995056,0.96284622,-0.001586623,0.003582384,-0.001318308,39:58.3,29.6,41,-0.038730745,-0.096972808,1.0530141,-0.017379552,-0.023042628,-0.029899201,40:20.0,21.2,57.9,00:57.9,5
