acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
-0.153038099,-0.071402863,0.890224576,-0.011653565,-0.070973143,0.898626089,56:08.8,50.6,28,0.244749159,-0.111566979,0.909842163,-0.078543313,0.060362883,-1.271778107,56:23.7,14.3,49.2,00:49.2,3,
-0.026905084,-0.121336624,1.021577239,0.084252283,-0.066391654,0.039749533,56:09.3,51.1,29,0.332029685,-0.083825998,1.02572003,-0.022038274,0.057919424,-1.399601698,56:24.8,14.8,50.2,00:50.2,3,
0.290450215,0.056570668,1.057400584,0.045767769,0.077772543,-1.050950289,56:09.9,51.6,30,0.215776868,-0.024691187,0.872434765,-0.085262826,0.038829881,-0.730704211,56:25.8,15.3,51.3,00:51.3,5,
0.220140889,-0.091424614,0.903627872,0.078754485,0.085102923,-1.182286501,56:10.4,52.2,31,-0.009439016,-0.070076119,0.886203587,-0.02891051,0.037302718,0.139473289,56:26.9,15.9,52.3,00:52.3,5,
0.163651004,-0.117477015,0.983560503,0.051570989,0.053643361,-0.865247309,56:10.9,52.7,32,0.009940282,-0.103365298,0.979783177,0.005606752,-0.003973465,0.025196689,56:28.0,16.4,53.4,00:53.4,4,
0.153468266,-0.105174489,1.162921429,-0.127412528,0.044174954,-0.156643644,56:11.4,53.2,33,0.00327302,-0.069955509,0.943472326,0.001691915,0.003618649,-0.005936375,56:29.0,16.9,54.5,00:54.5,4,
-0.142917842,0.040789153,0.981854618,-0.066326007,-0.025158253,1.155800343,56:12.0,53.7,34,0.004848918,-0.048727632,0.960409313,0.005025629,-0.000337196,-0.007163373,56:30.1,17.4,55.5,00:55.5,5,
0.072976224,0.111927383,1.263811827,0.543012083,-0.050203726,1.219330311,56:12.5,54.3,35,0.005697479,-0.037148789,0.960409254,0.000230096,0.000708282,-0.007564971,56:31.1,18,56.6,00:56.6,5,
-0.077753223,0.056085087,0.986484826,0.005756095,-0.039513588,0.840899289,56:13.0,54.8,36,0.00533381,-0.034736529,0.961262226,-0.000392858,5.86445E-05,-0.008840845,56:32.2,18.5,57.6,00:57.6,5,
-0.048379786,-0.092148297,0.987703323,-0.008599237,-0.058450408,0.431925029,56:13.5,55.3,37,0.005091364,-0.035580821,0.961384088,0.001114666,0.000803236,-0.005182955,56:33.3,19,58.7,00:58.7,5,
-0.205860928,-0.305874437,1.276484132,0.545760989,-0.145804137,0.519584179,56:14.1,55.8,38,0.004727695,-0.034374692,0.956997514,-0.001233313,-0.000575739,-0.005396575,56:34.3,19.5,59.8,00:59.8,5,
-0.048873462,-0.005789421,1.238467455,-0.010737266,-0.052341759,0.407490402,56:14.6,56.4,39,0.002281288,-0.030153235,0.966867268,0.001063023,0.000798205,-0.00530813,56:35.4,20.1,60.9,01:00.9,5,
-0.036531676,-0.294536799,0.835636497,0.158166975,0.015158853,-0.368308455,56:15.2,56.9,40,0.004242803,-0.03642511,0.961627781,0.002368823,-0.000718055,-0.006129373,56:36.5,20.6,61.9,01:01.9,5,
0.235414982,-0.059100345,1.309383273,-0.25416708,0.110759266,-1.001470327,56:15.7,57.4,41,0.004348663,0.001044804,0.993795782,0.002986625,0.004004076,-0.083483399,56:37.5,21.1,63,01:03.0,5,
0.281479716,-0.044868015,0.839048266,0.106243432,0.330976188,-1.330115795,56:16.2,58,42,0.058429467,0.050015274,1.018165469,0.023781564,0.004335896,-0.181512758,56:38.6,21.7,64,01:04.0,1,
0.304512054,0.020394577,1.065686345,-0.07609985,0.067387834,-1.487719059,56:16.7,58.5,43,0.042549256,0.004418834,0.972715914,0.00866265,-0.005743381,-0.118593637,56:39.6,22.2,65.1,01:05.1,1,
0.273478985,-0.014714779,0.749611557,0.043324307,0.052727066,-1.422661781,56:17.3,59,44,0.013209419,-0.019539297,1.015119225,0.005913757,0.024036299,0.017782032,56:40.7,22.7,66.2,01:06.2,1,
0.169227257,0.058513008,1.009879708,0.006061524,0.001414386,-1.349052668,56:17.8,59.5,45,0.04080824,0.031815225,0.985510021,-0.007985283,0.012866471,0.046496708,56:41.7,23.2,67.2,01:07.2,1,
0.124617197,-0.123266436,0.879745662,-0.073961817,0.055781394,-0.578140676,56:18.3,60.1,46,0.113585913,-0.058190232,0.932018608,0.038440477,-0.008819247,-0.039177144,56:42.8,23.8,68.3,01:08.3,5,
0.010182728,-0.140393466,0.601687551,-0.066020571,0.014853421,0.67321682,56:18.8,60.6,47,0.033093867,0.011263243,0.972959667,-0.009422245,-0.004308663,-0.001549211,56:43.9,24.3,69.3,01:09.3,5,
-0.217462212,-0.043420661,0.948224485,-0.076405279,-0.095102325,1.399230242,56:19.4,61.1,48,0.137951729,-0.020866041,0.902896821,0.036177419,0.06205203,-0.002711223,56:45.0,24.8,70.4,01:10.4,5,
-0.273740739,-0.01350865,0.98745966,-0.009515535,-0.119842365,1.521403074,56:19.9,61.7,49,0.054257402,-0.05861789,0.875359118,-0.007499445,-0.005295864,0.007826204,56:46.0,25.4,71.5,01:11.5,5,
-0.240911588,-0.012302521,1.006955385,-0.05869019,-0.088688239,1.545226812,56:20.5,62.2,50,0.05042875,-0.078479859,0.949686617,-0.024298243,-0.017513169,0.039285762,56:47.1,25.9,72.5,01:12.5,5,
-0.301633179,-0.074780032,0.940426111,-0.024787165,-0.095102325,1.702830076,56:21.0,62.8,51,0.053580549,-0.011451964,0.98404786,0.032206796,0.018222447,0.02905377,56:48.1,26.5,73.6,01:13.6,5,
-0.22585462,0.074537314,0.957484901,-0.074572682,-0.091437131,1.394037724,56:21.6,63.3,52,0.112858579,-0.028223431,0.937745452,-0.021854777,0.042657058,-0.288137998,56:49.2,27,74.6,01:14.6,3,
-0.07948108,-0.04052595,0.977711737,-0.037309904,-0.098767512,0.483237684,56:22.1,63.9,53,0.207533702,-0.040646563,0.907039672,-0.068433255,0.076865513,-1.090051413,56:50.3,27.6,75.7,01:15.7,3,
0.207776144,-0.073091447,0.95334208,0.014002778,0.04478582,-1.082715273,56:22.7,64.4,54,-0.005723335,-0.013585374,0.881695211,0.003343411,0.00692144,-0.05616191,56:51.3,28.1,76.8,01:16.8,2,
0.23129341,-0.131468117,0.844165862,0.001785472,0.100374557,-1.235126257,56:23.2,64.9,55,-0.107496928,-0.017247652,0.998913348,-0.010095624,-0.064702509,1.19397372,56:52.4,28.6,77.8,01:17.8,2,
0.258204907,-0.091665842,0.975518465,-0.158872098,0.020351209,-1.308429956,56:23.7,65.5,56,-0.037519018,-0.070920413,0.912157297,-0.026894419,-0.054317798,0.604030699,56:53.4,29.2,78.9,01:18.9,5,
0.37166959,-0.103244685,0.981854618,-0.051970668,0.076856248,-1.437322617,56:24.2,66,57,0.119889505,-0.089374196,1.017068803,0.016477013,0.015473555,-0.064866759,56:54.5,29.7,79.9,01:19.9,5,
0.29238978,-0.064407311,1.069585443,0.007894121,0.0389826,-1.361880779,56:24.8,66.5,58,0.071639393,0.031501173,0.940304309,0.01097923,0.033494079,-0.042722896,56:55.6,30.2,81,01:21.0,5,
0.23977901,0.010682873,1.013535261,-0.023565438,0.027987024,-1.252841234,56:25.3,67.1,59,-0.054674095,-0.079363318,0.897169948,-0.042776916,0.048154844,0.014545721,56:56.7,30.8,82.1,01:22.1,5,
0.191774726,-0.060065247,0.731334269,-0.146960214,0.049672738,-0.208567187,56:25.8,67.6,60,-0.040727883,-0.080207609,1.071900606,0.1165062,-0.044696674,-0.011110618,56:57.7,31.3,83.2,01:23.2,5,
0.00654604,-0.005789421,0.870485127,0.06195569,0.053337932,0.164671481,56:26.3,68.1,61,0.013269186,0.016884268,1.007686406,0.002274396,-0.032784801,0.038827613,56:58.8,31.8,84.3,01:24.3,5,
-0.025424073,-0.134362817,0.901922047,-0.119776711,0.021267505,0.114275098,56:26.9,68.6,62,-0.098734253,0.093839332,1.054963648,-0.02139663,-0.022552809,-0.022564343,56:59.8,32.3,85.3,01:25.3,5,
0.018425889,-0.146182895,0.992577255,0.006259955,-0.004915671,0.044186562,56:27.4,69.2,63,0.054914,0.000950843,0.913985014,-0.011470068,0.00447798,-0.046846233,57:00.9,32.9,86.4,01:26.4,5,
0.001454675,-0.060547702,0.9669891,0.004953548,-0.003031259,0.006206816,56:28.0,69.7,64,0.046307171,0.046150958,0.959921837,0.031137779,-0.016902305,-0.057841811,57:01.9,33.4,87.4,01:27.4,5,
0.003394243,-0.078880869,0.946031153,-0.003791533,0.003620843,-0.006746382,56:28.5,70.2,65,-0.016378948,0.053535761,0.924098432,0.035764454,-0.042461935,-0.036147742,57:03.0,33.9,88.5,01:28.5,5,
0.003151797,-0.061030149,0.940913498,0.007175364,0.003616455,-0.005126368,56:29.0,70.8,66,-0.007947028,0.081092723,0.916909367,0.031488404,0.044739076,0.01088888,57:04.1,34.5,89.5,01:29.5,5,
0.00533381,-0.055723183,0.959678233,0.007054769,0.000852981,-0.007442605,56:29.5,71.3,67,0.075764347,0.067860525,1.013047785,-0.027460091,0.0056437,-0.098456003,57:05.1,35,90.6,01:30.6,5,
0.004364027,-0.04173208,0.961140394,0.002996489,-0.001527374,-0.006884141,56:30.1,71.8,68,-0.08676273,0.050743647,0.848918021,0.007511944,-0.007184471,-0.188558619,57:06.2,35.5,91.6,01:31.6,5,
0.00533381,-0.036907561,0.960652947,0.001160428,0.002081703,-0.009052034,56:30.6,72.3,69,-0.066769046,0.068467509,0.99635461,-0.016617235,-0.005351875,0.029367555,57:07.2,36,92.7,01:32.7,5,
0.006061148,-0.037390016,0.96016556,-0.000700235,-0.00066514,-0.006077908,56:31.1,72.9,70,-0.023244253,0.048922702,0.926169902,0.028128648,-0.034673407,0.03120015,57:08.3,36.6,93.8,01:33.8,5,
0.005576256,-0.035942659,0.961384058,0.0008246,0.000222598,-0.008532596,56:31.6,73.4,71,0.044246379,-0.014956006,0.960043699,0.046454601,-0.014514853,0.254165977,57:09.4,37.1,94.9,01:34.9,5,
0.005091364,-0.033530399,0.961140394,-0.001610316,-0.000105309,-0.009149093,56:32.2,73.9,72,0.060611478,-0.008629299,0.931653053,-0.015035132,0.003879178,0.010711394,57:10.5,37.6,95.9,01:35.9,5,
0.004121581,-0.034495305,0.963089943,-0.001296721,0.000508894,-0.006181829,56:32.7,74.5,73,0.062551046,-0.12097479,0.966379851,-0.024544736,-0.003725584,-0.044464469,57:11.5,38.2,97,01:37.0,4,
0.006061148,-0.036666337,0.959678233,0.003526054,0.001097578,-0.004184081,56:33.3,75,74,0.084856074,0.004873868,0.958337873,0.002423208,0.0014049,-0.0004809,57:12.6,38.7,98,01:38.0,4,
0.00533381,-0.036183886,0.956022739,0.000140563,0.000165144,-0.006096248,56:33.8,75.6,75,0.084613625,0.026707184,0.96016559,0.00191734,0.00188338,0.000884013,57:13.6,39.3,99.1,01:39.1,5,
0.004121581,-0.032565497,0.957972288,-0.002607189,-0.001316622,-0.004696902,56:34.3,76.1,76,0.079158593,0.025614616,0.960531116,0.001378387,0.001777165,-0.002432103,57:14.7,39.8,100.2,01:40.2,5,
-0.002468356,-0.028947107,0.969913483,0.003185399,-0.001007768,-0.005110666,56:34.9,76.6,77,0.080976941,0.02452205,0.959190786,0.000889659,0.002443804,-0.001128677,57:15.8,40.3,101.3,01:41.3,5,
0.007030932,-0.031359363,0.963821054,-0.001059353,0.002604179,-0.005505593,56:35.4,77.2,78,0.080370821,0.023672275,0.959068954,0.001569856,0.002884085,-0.002460757,57:16.9,40.9,102.4,01:42.4,5,
0.00654604,-0.039319821,0.961140394,0.00075756,-0.000134844,-0.007434277,56:35.9,77.7,79,0.080613267,0.022943898,0.960531116,0.000330556,0.001541064,0.000129485,57:18.1,41.4,103.5,01:43.5,5,
0.001939567,-0.033530399,0.962115169,0.003980085,-0.001301265,-0.004824469,56:36.5,78.2,80,0.081219383,0.025614616,0.958703399,-0.002136156,0.000623852,7.98637E-05,57:19.2,41.9,104.6,01:44.6,5,
0.010425175,-0.022675235,0.939451396,0.005735517,0.004767658,-0.0123176,56:37.0,78.7,81,0.082067944,0.02682858,0.964552164,-0.001771823,-0.000305701,-0.000816387,57:20.3,42.4,105.7,01:45.7,5,
-0.00172785,0.024764843,1.048140168,0.000237733,0.003240495,-0.154649198,56:37.5,79.3,82,0.083280176,0.016752688,0.957728595,-0.001662739,-0.000290794,0.001439366,57:21.4,43,106.8,01:46.8,5,
0.045579832,0.034962133,0.939207673,0.007440917,0.007390223,-0.19739525,56:38.0,79.8,83,0.07964348,0.049286895,0.97040087,0.002271375,0.003019661,0.001350273,57:22.5,43.5,108,01:48.0,5,
0.071279101,0.065068416,1.097123265,0.040122211,0.00128157,-0.165630266,56:38.6,80.3,84,0.074309673,0.02913511,0.960409284,0.003574062,0.003461383,-0.000315907,57:23.5,44,109,01:49.0,5,
0.018425889,0.023793673,0.894854784,-0.009968739,0.008611953,-0.172349781,56:39.1,80.9,85,0.075279456,0.0196662,0.962115139,0.006872892,0.007388007,0.00271133,57:24.6,44.6,110.1,01:50.1,5,
0.066672623,-0.014956006,1.050577044,0.02729404,-0.020098714,-0.064837493,56:39.6,81.4,86,0.080128375,0.040424963,0.955779046,-0.000589006,-0.002003575,-0.002616792,57:25.6,45.1,111.1,01:51.1,5,
-0.014069632,-0.014714779,0.999644458,0.007135488,0.026327044,-0.004972698,56:40.2,81.9,87,0.092856787,0.023915069,0.961018562,-0.004747406,5.27066E-05,0.002190248,57:26.7,45.6,112.2,01:52.2,5,
0.04048847,-0.024363814,1.030593991,0.004692025,0.021745555,0.040536761,56:40.7,82.5,88,0.073703557,0.027192769,0.960774809,0.001213916,-0.004143842,0.001210758,57:27.8,46.2,113.2,01:53.2,5,
0.086553194,0.066525161,0.96357733,0.005911902,0.029970698,0.016717024,56:41.2,83,89,0.083401397,0.011532646,0.973325223,-0.004054997,0.002077657,-0.004640272,57:28.9,46.7,114.3,01:54.3,5,
-0.004936713,-0.002894711,1.007442713,-0.021882467,-0.004237756,0.076276392,56:41.7,83.5,90,0.090189882,0.023429483,0.952123582,-0.006503411,-0.002096836,-0.000638945,57:29.9,47.2,115.4,01:55.4,5,
0.216261759,-0.1741651,1.059593916,0.149159804,0.013171903,-0.044980362,56:42.3,84,91,0.069097087,0.01468895,0.949442923,-0.012730647,0.007066202,-0.001165133,57:31.0,47.7,116.4,01:56.4,5,
0.010910066,0.057784636,0.8044433,-0.07227885,-0.030810397,-0.033373926,56:42.8,84.6,92,0.075037014,0.038118435,0.968938649,-0.000199493,0.001764627,-0.00011485,57:32.0,48.3,117.5,01:57.5,5,
0.026184158,-0.029188333,0.9669891,-0.026158523,0.036690213,0.003888856,56:43.3,85.1,93,0.087159306,0.083035059,0.967354625,0.020071596,-0.008673083,-0.032608638,57:33.1,48.8,118.5,01:58.5,1,
0.040003575,0.051714819,0.978930235,0.007314034,-0.045307539,-0.006987278,56:43.9,85.6,94,0.096129812,0.094203517,0.960774869,-0.010419156,-0.007626943,-0.07220348,57:34.1,49.3,119.6,01:59.6,1,
0.019395674,-0.005065744,0.8427037,0.043965951,0.013946391,-0.027145831,56:44.4,86.2,95,0.11479814,0.081578307,0.989652902,-0.03646994,-0.044874266,-0.09005085,57:35.2,49.9,120.7,02:00.7,1,
0.256507784,-0.036666337,0.963089943,0.028388888,0.110157669,0.021723386,56:45.0,86.7,96,-0.10319165,-0.147027187,0.813703775,-0.09098966,-0.112222161,0.96430254,57:36.3,50.4,121.8,02:01.8,1,
0.114192024,-0.083705381,0.868291914,0.085504793,-0.006517595,0.011033247,56:45.5,87.3,97,-0.23214893,-0.081654962,0.972594112,-0.029903136,-0.079388157,0.717207611,57:37.5,51,122.9,02:02.9,2,
-0.00567722,-0.033530399,0.882426322,-0.100503683,-0.004074134,0.004619162,56:46.0,87.8,98,-0.104164647,-0.083464161,0.952732831,-0.035553642,-0.01784348,-0.186720278,57:38.6,51.5,124,02:04.0,5,
0.055520114,-0.169099346,0.844896972,0.0500746,-0.022705525,0.045852564,56:46.5,88.3,99,0.011273735,-0.313714281,0.779708058,0.013315581,0.011783484,-0.18519311,57:39.7,52,125.1,02:05.1,5,
0.045337386,0.012139629,1.054476261,-0.098671086,-0.012320814,0.03271896,56:47.1,88.8,100,-0.036655094,-0.094439939,0.960531116,-0.066860486,-0.019676076,0.048157414,57:40.8,52.5,126.2,02:06.2,5,
0.072248884,0.001942341,0.998913348,-0.001848944,-0.032479368,0.043714534,56:47.6,89.4,101,-0.046027759,-0.1210954,0.910451412,0.027823631,-0.004862593,0.025249965,57:41.9,53.1,127.3,02:07.3,5,
0.034912214,-0.024846269,0.969182372,0.066262536,0.068924263,0.014393005,56:48.1,89.9,102,-0.058746884,-0.1313475,0.906795949,-0.003788646,-0.025479296,-0.026673578,57:43.0,53.6,128.5,02:08.5,5,
0.088735208,-0.036183886,0.906308532,0.050990902,0.069535129,0.027832039,56:48.7,90.4,103,0.01201795,-0.057894217,0.885959893,0.007359643,-0.028991774,0.006618576,57:44.1,54.1,129.6,02:09.6,5,
0.136981949,-0.020262975,0.969182372,-0.094700456,0.015778987,-0.604108036,56:49.2,90.9,104,-0.071180347,-0.079537184,0.910816997,-0.060140967,0.004758534,-0.046221267,57:45.2,54.6,130.7,02:10.7,5,
0.241961017,-0.068266928,0.847577631,-0.111804686,0.087555654,-1.119678378,56:49.7,91.5,105,0.045975242,-0.130141374,0.934942961,-0.030055853,0.03270562,0.048310131,57:46.3,55.2,131.8,02:11.8,5,
0.173106387,-0.013026198,0.966501713,-0.025061823,0.066175371,-1.060424447,56:50.3,92,106,-0.027036273,-0.25883539,0.936526984,0.015606325,-0.022119536,-0.014914424,57:47.4,55.7,132.9,02:12.9,4,
0.182319328,0.050986439,0.988678098,0.007924899,0.04174076,-0.986204267,56:50.8,92.6,107,-0.037272182,-0.108310435,0.944812655,-0.000432983,0.000928871,-0.004644366,57:48.5,56.3,134,02:14.0,4,
-0.193765998,-0.078157187,0.774712324,-0.001238078,-0.027897879,0.873880446,56:51.3,93.1,108,-0.033199394,-0.069834899,0.899119496,-0.115127025,0.002596996,-0.017281755,57:49.6,56.8,135,02:15.0,1,
-0.182411551,-0.009649036,1.012804031,-0.016509708,-0.069742143,1.252616763,56:51.9,93.6,109,-0.068496892,-0.12338705,1.039245278,-0.107338499,0.005040456,0.001807785,57:50.6,57.3,136.1,02:16.1,1,
-0.032582305,-0.024846269,0.985022664,-0.00368154,-0.059662875,1.135330677,56:52.4,94.1,110,0.008121938,-0.149318829,0.8618339,0.161442213,0.02687889,-0.033316966,57:51.7,57.8,137.1,02:17.1,1,
-0.021474702,-0.058376666,0.946274877,-0.041249752,-0.031868502,0.791108191,56:52.9,94.7,111,0.0638845,-0.162948098,0.909232974,0.011627514,-0.096210461,0.015857684,57:52.7,58.4,138.2,02:18.2,1,
-0.053563334,-0.083464161,0.878039718,-0.012539085,-0.076767094,0.416953206,56:53.4,95.2,112,-0.109965276,-0.157279287,0.961262226,0.04568325,0.053756962,-0.031637087,57:53.8,58.9,139.3,02:19.3,5,
0.148134455,-0.057894215,0.962115169,0.057099551,0.005394278,-0.04791525,56:54.0,95.7,113,0.034912212,-0.286696978,1.032299876,0.005213425,0.052077081,-0.044923406,57:54.8,59.4,140.3,02:20.3,5,
0.091644555,-0.120854177,1.072022438,-0.024145525,0.025552832,-0.081818268,56:54.5,96.2,114,0.064369392,-0.123387042,0.875115395,0.097912226,0.039401626,-0.010256805,57:55.9,59.9,141.4,02:21.4,5,
0.17092438,0.081335515,0.950905144,-0.026283551,0.081141569,-0.050664145,56:55.0,96.8,115,0.060369033,-0.148715757,0.835636497,0.03331323,0.002749711,0.114970574,57:56.9,60.5,142.4,02:22.4,5,
-0.027645594,-0.018333169,0.929703474,0.04824201,-0.014153411,-0.034781646,56:55.6,97.3,116,0.00820416,-0.227837853,1.03595531,0.032244213,0.018479491,0.12703516,57:58.0,61,143.5,02:23.5,5,
-0.061462075,-0.046797823,0.985266328,-0.043082349,0.000812788,0.000648537,56:56.1,97.9,117,0.030548185,-0.10915472,0.901678354,-0.008494001,0.048810998,0.046574404,57:59.1,61.6,144.5,02:24.5,5,
-0.047886115,-0.111928813,0.809073567,-0.042471483,0.0954969,0.028442904,56:56.7,98.4,118,-0.003579117,-0.057763396,0.996841997,0.12914044,0.015001656,-0.017392988,58:00.1,62.1,145.6,02:25.6,5,
-0.01875951,-0.10034997,1.009879708,0.174691111,-0.017513171,0.012254977,56:57.2,99,119,-0.033939902,-0.013411496,0.926413566,-0.13108816,-0.001949857,0.025062145,58:01.2,62.7,146.6,02:26.6,5,
-0.062696256,-0.060065247,1.133921504,0.05832129,-0.071880177,-0.034476213,56:57.7,99.5,120,-0.030484203,-0.105053874,0.972715944,-0.01471833,-0.045474005,-0.060458988,58:02.2,63.2,147.7,02:27.7,5,
0.047519401,-0.003135937,0.971619308,0.033886671,-0.015069707,0.059902463,56:58.3,100,121,-0.045170923,-0.210107759,0.950173974,-0.000362996,-0.008669375,-0.028541279,58:03.3,63.7,148.8,02:28.8,4,
-0.020981029,0.036904473,1.043753505,-0.029337879,-0.050499894,0.017752763,56:58.8,100.6,122,-0.053069666,-0.131829951,0.924098462,0.029874835,-0.001338992,0.015746451,58:04.4,64.3,149.9,02:29.9,4,
-0.171303928,0.106828734,1.056182146,-0.033308502,-0.035839129,-0.05371847,56:59.3,101.1,123,-0.030854455,-0.133036084,0.948102593,0.004773334,-0.003865693,0.002731773,58:05.4,64.8,150.9,02:30.9,5,
