acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
-0.013329125,-0.156073153,0.94651854,-0.005594473,-0.008323791,-0.008229662,21:53.0,27.5,30,-0.226841956,0.001847601,0.950539529,-0.063544385,-0.072975648,0.871771097,22:08.9,15.4,104.4,2
-0.014069632,0.014081969,0.979661286,0.08634074,-0.006185763,-0.007924229,21:53.5,28,31,-0.103794389,0.094567708,1.252358109,-0.166780623,0.010712893,-0.094006855,22:10.0,15.9,105.4,5
-0.014810139,-0.020262975,0.952854693,-0.015068054,-0.000675139,-0.020737005,21:54.0,28.5,32,0.022362424,-0.147992099,1.048505723,0.321148016,-0.014790731,-0.205184333,22:11.1,16.4,106.5,5
0.035639551,-0.026534848,1.078358531,0.000509009,-0.020833692,0.015304042,21:54.6,29.1,33,-0.067262717,0.137321908,1.043022513,-0.032390255,0.109367628,0.061000193,22:12.1,17,107.5,4
0.045337386,-0.056205634,0.81809032,0.020056702,-0.070619211,0.026910482,21:55.1,29.6,34,-0.020514881,-0.024966881,1.024014175,-0.077654026,-0.008535088,0.066232774,22:13.2,17.5,108.6,4
-0.011848111,-0.056929313,0.893148959,0.096103437,0.030367136,0.005044557,21:55.6,30.1,35,0.014881891,-0.154867023,0.913253933,-0.025386583,0.006176725,0.027077855,22:14.2,18,109.6,4
0.045579832,-0.00410084,0.988434374,0.068309061,-0.018807516,0.0859842,21:56.2,30.7,36,-0.004813295,-0.010479202,0.976858795,0.001391307,0.001764135,-0.004631852,22:15.3,18.6,110.7,5
0.147164658,0.042974286,0.811023116,-0.144577473,-0.016974919,0.085067898,21:56.7,31.2,37,-0.014316468,0.047344554,0.955900937,0.005915267,-0.005960727,-0.00916192,22:16.3,19.1,111.7,1
-0.047886115,0.054385535,0.913375795,-0.175120741,0.012346611,-0.048100717,21:57.3,31.8,38,-0.07528487,-0.018574394,0.973447084,-0.000983801,0.042085419,0.01750648,22:17.4,19.7,112.8,1
0.037094224,-0.1145823,0.854157448,0.095492564,-0.027359627,-0.121709988,21:57.8,32.3,39,-0.074420946,0.000385339,0.979661345,0.042845782,0.00970956,0.101958599,22:18.4,20.2,113.9,1
0.013092079,-0.132915467,0.887543917,-0.059667204,-0.000481558,-0.100329697,21:58.4,32.9,40,0.229111388,-0.037028175,0.970522672,0.039180584,0.046361475,-1.352053404,22:19.5,20.8,114.9,2
0.099887721,-0.101314873,0.886081696,0.013636626,0.022731319,-0.176993296,21:58.9,33.4,41,-0.108441398,0.070652638,0.858544022,0.681810847,-0.187752632,-0.267156713,22:20.6,21.3,116,5
-0.141189992,-0.082740486,0.986972272,-0.037676055,0.021815024,0.029784599,21:59.4,33.9,42,-0.805236634,0.149412237,0.750586271,0.993199375,-0.004340343,-0.243332966,22:21.6,21.8,117,5
-0.05726587,-0.117477015,0.968207598,0.044790752,-0.034384578,0.285431713,21:59.9,34.4,43,0.148376901,-0.119406819,1.053135931,0.217095092,0.01673451,-0.416971445,22:22.7,22.3,118.1,5
-0.011107604,-0.047762729,0.897535443,0.013942055,0.038002953,0.317807555,22:00.5,35,44,0.021323588,-0.102400392,0.762527436,0.041929483,0.004975354,-0.130322906,22:23.8,22.9,119.2,5
-0.020734195,-0.059582796,0.813216388,-0.00010784,-0.02033468,0.095452614,22:01.0,35.5,45,-0.041715222,-0.130141373,0.921417803,-0.001441952,0.048041351,0.086686972,22:24.8,23.4,120.2,5
0.039033793,-0.092389517,0.981854618,-0.04042495,0.0318943,-0.133316413,22:01.5,36,46,0.039276238,-0.099505682,0.860006154,-0.107274354,0.102866504,-0.051063146,22:25.9,23.9,121.3,5
-0.027645594,-0.176336125,0.94993031,0.15077588,-0.020640112,-0.203565925,22:02.0,36.5,47,-0.012348367,-0.030515075,0.884010285,0.08146432,0.030194622,-0.067824248,22:26.9,24.4,122.4,5
-0.015797481,-0.104933262,0.89119941,0.112596802,0.069462508,-0.151031509,22:02.6,37.1,48,0.101463614,-0.090459712,0.993795753,-0.055540893,0.018914685,-0.436291039,22:28.0,25,123.4,5
