acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
-0.01950001717,0.7325052023,0.6136286855,-0.1352719218,0.04078229889,-0.03539507836,2022-06-30 12:22:32,89.3,1,-0.0170316603,0.7368754745,0.6124101877,-0.09419123083,0.02398350416,-0.01844356756,22:32.4,0,3.6,
-0.01456330344,0.7412457466,0.61119169,-0.05311053991,0.007184709422,-0.001492056763,2022-06-30 12:22:32,89.9,2,-0.01727849524,0.7417313159,0.6033934057,-0.05692845583,0.00504668057,0.04081036075,22:33.4,0.6,4.7,
-0.01703165844,0.7422168851,0.5958387852,-0.05585944653,0.005352113396,0.08036388457,2022-06-30 12:22:33,90.4,3,-0.01801900286,0.7422169149,0.6142379045,-0.05662301928,0.004283099086,0.0007986879209,22:34.5,1.1,5.8,
-0.01752533205,0.7412457466,0.6109480262,-0.05799746513,0.004741247743,0.001256836927,2022-06-30 12:22:33,91,4,-0.02098103147,0.7465871871,0.6165530086,-0.05677574128,0.005962978583,0.001256836927,22:35.6,1.7,6.9,
-0.01727849618,0.7434309125,0.6146034598,-0.05921919644,0.002297787229,0.0009514042176,2022-06-30 12:22:34,91.5,5,-0.01912976243,0.7393034101,0.6115572453,-0.05830290169,0.005199396983,0.0004932554439,22:36.7,2.2,8,
-0.01875950955,0.7410029173,0.6138723493,-0.05402684212,0.006268410943,0.0006459716242,2022-06-30 12:22:35,92.1,6,-0.01789558539,0.7579984069,0.599737972,-0.04639103264,-0.03679758916,0.04050493008,22:37.8,2.8,9.1,
-0.02048736066,0.7441592813,0.6155782342,-0.05647030473,0.00504668057,0.002173134824,2022-06-30 12:22:35,92.6,7,-0.01875951001,0.7475583553,0.6126538515,-0.05555400997,0.0009233404417,-0.03340976825,22:38.9,3.3,10.1,
-0.02147470228,0.7490150928,0.6175277829,-0.05708117783,0.006879276596,0.0003405390307,2022-06-30 12:22:36,93.2,8,-0.01012026193,0.7484081089,0.6104606092,-0.05830290169,0.004435815383,0.001409553224,22:40.0,3.9,11.3,
-0.01653798856,0.7400317788,0.6131412983,-0.06074635684,0.005657546222,0.002173134824,2022-06-30 12:22:36,93.7,9,-0.009996843524,0.7520500124,0.6124101877,-0.05540128797,0.00581026217,0.002783999953,22:41.1,4.4,12.4,
-0.02172153629,0.7385750413,0.6099731922,-0.05585944653,0.004741247743,-0.001186623937,2022-06-30 12:22:37,94.3,10,-0.01061393321,0.7525355816,0.6116790771,-0.05555400252,0.004893964622,0.001867702173,22:42.2,5,13.5,
-0.02443673089,0.76746732,0.596326232,-0.04211497307,-0.08016902208,0.08066932112,2022-06-30 12:22:37,94.8,11,-0.008886083029,0.7515644133,0.6089984179,-0.05601216108,0.004130382673,0.001562269521,22:43.4,5.5,14.6,
