acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
0.000484892,0.66646564,0.65968734,-0.064106122,0.049639847,0.052569516,33:25.9,64.2,28,-0.009367768,0.67229265,0.502746597,-0.055095859,0.022303625,-0.001797489,33:41.0,14.5,62.5,01:02.5,5,
-0.198949531,0.831807375,0.638729453,-0.014320597,0.00840644,0.071200907,33:26.5,64.7,29,0.049704269,0.757877052,0.797010541,-0.008670099,0.048112681,-0.048223248,33:42.1,15,63.6,01:03.6,5,
0.058187019,0.693172812,0.62825048,-0.078766882,0.057581093,0.053180382,33:27.0,65.2,30,-0.093920965,0.717573434,0.65152353,-0.025927044,0.010849901,0.022484405,33:43.1,15.5,64.7,01:04.7,3,
0.027396388,0.759455204,0.678452075,-0.019512951,0.025510667,-0.001186624,33:27.5,65.8,31,0.202078672,0.758362591,0.712325931,-0.040282376,-0.628267854,-0.655423284,33:44.2,16.1,65.7,01:05.7,3,
-0.045170926,0.719394386,0.651157975,-0.08273752,0.05147244,0.032716397,33:28.1,66.3,32,0.280752357,0.451108597,0.647868067,-0.015542336,-0.490670457,-0.616327912,33:45.3,16.6,66.8,01:06.8,2,
-0.04936713,0.538513958,0.513225555,-0.062273532,0.045058355,0.011946978,33:28.6,66.8,33,-0.195975021,0.676784277,0.701603204,-0.039518796,0.233204857,0.205438569,33:46.4,17.1,67.9,01:07.9,2,
-0.028139263,0.636602163,0.626300871,-0.007295653,-0.002589135,0.006143759,33:29.2,67.4,34,-0.235357799,0.640001237,0.72524184,-0.065633282,0.822537094,0.80546096,33:47.4,17.7,69,01:09.0,5,
-0.016537989,0.631503463,0.843922138,-0.031730264,-0.003505433,-0.030508155,33:29.7,67.9,35,-0.107983686,0.672778249,0.61289759,0.012099318,0.209839253,0.28210213,33:48.5,18.2,70,01:10.0,5,
-0.020734195,0.661609769,0.716956139,-0.034479156,-0.008392354,-0.017374553,33:30.2,68.5,36,-0.005513789,0.710896671,0.653960496,-0.023178153,-0.070700612,-0.067465502,33:49.6,18.8,71.1,01:11.1,5,
-0.012835453,0.689288139,0.657981515,-0.038449779,0.002908652,-0.002713787,33:30.8,69,37,-0.004776662,0.701306343,0.60436818,-0.022567287,-0.017860766,-0.04242003,33:50.7,19.3,72.2,01:12.2,5,
0.00533381,0.717937648,0.620939553,-0.028981373,0.004435816,-0.011265901,33:31.3,69.6,38,0.011321848,0.728256315,0.587796807,-0.071741931,0.04521107,-0.020276162,33:51.7,19.9,73.3,01:13.3,5,
-0.01530381,0.740031779,0.624838769,-0.0415041,-0.014501007,-0.026232099,33:31.8,70.1,39,-0.029620278,0.715995312,0.556116223,-0.019679084,0.007764657,-0.014287449,33:52.8,20.4,74.4,01:14.4,5,
-0.001234178,0.791989386,0.664805055,-0.051888824,-0.025496582,-0.04608522,33:32.4,70.6,40,0.014061864,0.748043925,0.618624419,-0.049153335,0.005168479,-0.014898315,33:53.9,20.9,75.4,01:15.4,5,
-0.016044317,0.73930341,0.613141298,-0.031119391,-0.008697787,-0.00301922,33:32.9,71.2,41,0.032487753,0.788711667,0.626422733,-0.055872858,-0.016975387,0.000984181,33:55.0,21.5,76.5,01:16.5,5,
