acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,,
-0.166120395,0.669379115,0.731821656,-0.197274759,-0.001367404,0.053180382,42:20.6,1333.3,29,-0.257326171,0.660759985,0.801153421,-0.125039928,0.279325183,0.15733291,42:36.2,15.2,30.8,3,,,
-0.041221555,0.645828247,0.666754603,-0.079988614,0.050250709,0.025386015,42:21.1,1333.8,30,0.128253892,0.758241206,0.870972544,-0.022414573,0.130579494,0.11564135,42:37.3,15.7,31.8,3,,,
-0.09873426,0.670350313,0.774468601,-0.02653791,-0.028550908,-0.045779787,42:21.6,1334.3,31,0.186804585,0.548225641,0.515418842,-0.01416789,-0.000451108,-0.143976375,42:38.3,16.2,32.9,5,,,
-0.11625959,0.638058901,0.620208442,-0.12763612,-0.027329177,-0.069603533,42:22.2,1334.9,32,-0.366427526,0.644007295,0.919346303,0.093038969,-0.073602219,-0.085027881,42:39.4,16.8,34,2,,,
-0.051094979,0.688316941,0.757897198,-0.004546762,0.012377064,0.023247987,42:22.7,1335.4,33,0.013202832,0.677148461,0.734502316,0.056692477,-0.095135219,-0.168563709,42:40.5,17.3,35.1,2,,,
-0.001234178,0.788833082,0.761065304,-0.048834488,0.034673646,0.030578369,42:23.2,1335.9,34,-0.027920458,0.634781197,0.707573816,-0.10427051,0.033451915,0.096704531,42:41.6,17.8,36.2,5,,,
0.175288409,0.695357978,0.7157377,-0.084264681,-0.040157344,-0.004851815,42:23.8,1336.5,35,0.016728768,0.717937678,0.713788092,-0.027759641,-0.054818116,-0.005768115,42:42.6,18.4,37.2,3,,,
-0.070841834,0.542884171,0.55172962,-0.139242545,0.14096421,0.154278576,42:24.3,1337,36,-0.000131692,0.648013353,0.752048492,-0.061815366,-0.029314489,-0.02867556,42:43.7,18.9,38.3,5,,,
-0.09379755,0.682732701,0.753023267,-0.012488008,0.157763004,0.218724862,42:24.9,1337.6,37,-0.313672733,0.508529052,0.615090847,-0.085944556,-0.216850109,0.270342979,42:44.8,19.5,39.4,5,,,
-0.004689877,0.680547595,0.562939703,-0.068076745,0.081710264,0.20620212,42:25.4,1338.1,38,0.060975147,0.616086155,0.64530924,-0.08609727,-0.015722737,-0.003019219,42:45.9,20,40.4,5,,,
-0.134772256,0.646313787,0.646771431,-0.059219196,0.114391558,0.199788034,42:26.0,1338.7,39,-0.015492063,0.703734308,0.892296046,0.007059678,-0.056803427,-0.045168922,42:46.9,20.6,41.5,5,,,
-0.08417096,0.633688629,0.594620287,-0.154514179,0.16753684,0.118542962,42:26.5,1339.2,40,0.028244949,0.676055908,0.668216765,-0.062273525,-0.105214499,-0.100604944,42:48.0,21.1,42.6,5,,,
0.024487037,0.678848028,0.637510955,-0.075101689,0.021845475,0.071811773,42:27.0,1339.7,41,-0.048935091,0.682732731,0.756556839,-0.070062064,0.018791148,-0.00912787,42:49.1,21.6,43.7,5,,,
-0.128601372,0.703370094,0.642141223,-0.084875539,0.075296178,0.074255235,42:27.6,1340.2,42,-0.146620374,0.604917705,0.611557245,-0.076323427,0.26512257,0.26896853,42:50.2,22.1,44.8,5,,,
-0.003702535,0.637330532,0.661880672,-0.100758031,0.05361047,0.061732493,42:28.1,1340.8,43,-0.115395662,0.703734279,0.731699795,-0.033410147,0.004435811,0.070895473,42:51.2,22.7,45.8,5,,,
-0.138968468,0.630775094,0.669678926,-0.094343945,-0.0032,0.039435912,42:28.6,1341.3,44,0.034912211,0.708954304,0.759237528,-0.090526044,0.043836622,0.022484403,42:52.3,23.2,46.9,5,,,
-0.075038038,0.734690368,0.699897349,-0.06135723,0.00840644,0.029051207,42:29.2,1341.9,45,0.008011011,0.626647651,0.714397311,-0.037380762,-0.034201412,-0.043794475,42:53.4,23.8,48,5,,,
-0.079234242,0.702641726,0.87682128,-0.0796832,0.05941369,0.021109957,42:29.7,1342.4,46,-0.02037002,0.628711373,0.68771252,-0.040893242,0.074227171,0.049973339,42:54.5,24.3,49.1,5,,,
0.302572489,0.583673358,0.524435639,-0.205826864,-0.626587987,-0.166731104,42:30.3,1342.9,47,-0.010317801,0.592049688,0.721220851,-0.064106122,-0.029925354,-0.046848803,42:55.5,24.8,50.1,5,,,
0.233717859,0.663552105,0.673821747,0.009503141,-0.339786738,-0.399470747,42:30.8,1343.5,48,-0.021103436,0.70579803,0.770447612,-0.10671398,-0.147058763,-0.09907778,42:56.6,25.4,51.2,5,,,
-0.083430447,0.689288139,0.641166389,-0.011266276,0.175172657,0.168633908,42:31.3,1344,49,-0.032582306,0.662823677,0.660052896,0.025080204,-0.039393766,-0.154666517,42:57.7,25.9,52.3,5,,,
-0.063436761,0.59921205,1.019383907,0.034243181,0.223431006,0.097773544,42:31.9,1344.6,50,0.074309669,0.650562674,0.57841447,-0.103659637,-0.149196796,-0.129468326,42:58.8,26.5,53.4,5,,,
-0.169822931,0.613294005,0.740351021,-0.017985791,0.240535244,0.117626667,42:32.4,1345.1,51,-0.062079163,0.788347483,0.768010616,-0.029744953,-0.21914085,-0.20368845,42:59.9,27,54.5,5,,,
-0.177968502,0.662823737,0.646527767,-0.005463064,0.092094973,-0.01462566,42:32.9,1345.6,52,0.018304667,0.68321833,0.679792345,-0.012793437,-0.166453734,-0.105033722,43:01.0,27.5,55.6,5,,,
0.220140889,0.759212375,0.693561196,-0.147794649,0.115307853,-0.001797489,42:33.5,1346.2,53,-0.026534833,0.712717623,0.655057132,-0.105186805,-0.030536223,-0.061204134,43:02.1,28.1,56.6,5,,,
-0.024683565,0.582702219,0.663342834,-0.451394677,-0.079558156,-0.274243385,42:34.0,1346.7,54,-0.063798916,0.623248518,0.747905612,0.016568862,-0.051644498,-0.060736014,43:03.1,28.6,57.7,5,,,
-0.140449479,0.953203619,0.830275178,0.228803769,0.071936421,0.135341763,42:34.6,1347.3,55,-0.030854457,0.563521549,0.585603535,-0.247131452,-0.007390192,-0.004373723,43:04.2,29.2,58.8,5,,,
-0.022215208,0.629561126,0.833199501,-0.217433289,0.309257567,0.354031533,42:35.1,1347.8,56,-0.046483611,0.69159466,0.699166268,-0.037299216,0.041020879,0.04816069,43:05.3,29.7,59.9,5,,,
-0.265595168,0.809227645,0.949686646,-0.023789018,0.02245634,0.036076155,42:35.6,1348.3,57,-0.143905178,0.687588573,0.56988509,-0.015613504,0.104550865,0.047549824,43:06.4,30.2,61,5,,,
-0.249057174,0.512292325,0.652620196,-0.226290837,0.536194026,0.278589666,42:36.2,1348.9,58,-0.026041161,0.719030172,0.667120099,-0.070285939,0.135857709,0.131696507,43:07.5,30.8,62.1,5,,,
0.161226541,0.770138025,0.950905144,0.018971547,0.198080108,0.233385623,42:36.7,1349.4,59,-0.09873426,0.700335205,0.681620091,-0.012711897,0.09722048,0.126046009,43:08.6,31.3,63.2,5,,,
0.095281243,0.746344388,0.791039944,-0.063800693,0.06307888,-0.002102922,42:37.3,1349.9,60,-0.021277335,0.643036127,0.636779845,-0.065551743,0.081032556,0.099931516,43:09.7,31.8,64.3,5,,,
0.015274093,0.575175643,0.63921684,-0.017374933,-0.029467206,-0.181086436,42:37.8,1350.5,61,0.03099289,0.573476046,0.442431599,-0.000494584,0.069426113,-0.063627648,43:10.8,32.4,65.4,4,,,
0.358335078,0.52127564,0.391620845,-0.010960847,0.028564991,-0.106866315,42:38.3,1351,62,-0.041344971,0.797694981,0.599981666,0.124732785,0.107757909,0.024642375,43:11.9,32.9,66.5,1,,,
-0.477873802,0.547740042,1.094442487,-0.064106122,0.024899801,0.068757445,42:38.9,1351.6,63,-0.171797611,0.638423085,0.69721669,-0.08891733,0.420826346,0.416817859,43:13.1,33.5,67.6,1,,,
-0.25498125,0.740274549,0.744250119,0.250184059,-0.172104239,-0.238813207,42:39.4,1352.1,64,-0.115889344,0.656146944,0.619842947,-0.138855569,0.141660929,0.078398519,43:14.1,34,68.7,1,,,
-0.014810139,0.570805311,0.958459735,0.007365108,-0.119569831,-0.200939566,42:40.0,1352.6,65,0.055084017,0.583430529,0.71293512,-0.051807269,-0.369327866,-0.394716613,43:15.2,34.5,69.8,5,,,
0.041215803,0.783491611,0.510544896,0.106019847,-0.070700608,-0.136187851,42:40.5,1353.2,66,-0.038498764,0.614022419,0.873653203,-0.0782272,-0.360317588,-0.415180594,43:16.3,35.1,70.9,2,,,
-0.072569683,0.435812682,0.479839116,-0.20704858,-0.056650706,0.231247604,42:41.0,1353.7,67,0.224383708,0.611473113,0.874018759,-0.053029001,-0.493180797,-0.461911798,43:17.5,35.6,72,2,,,
0.016728768,0.833749712,0.935308516,-0.001492441,0.123554535,-0.037838541,42:41.6,1354.3,68,0.00406502,0.698150039,0.714397311,-0.054708883,-0.179196045,-0.13509888,43:18.6,36.2,73.2,5,,,
0.016971214,0.754842162,0.61874634,-0.026843339,-0.029161774,0.02141539,42:42.1,1354.8,69,0.031275522,0.654568762,0.67199406,-0.061428398,-0.039155183,0.026169538,43:19.7,36.7,74.2,3,,,
0.016486323,0.681033194,0.808829844,-0.028675944,-0.080474459,-0.032951619,42:42.6,1355.3,70,-0.01916488,0.659910202,0.732309014,-0.021264009,0.029109008,0.025864107,43:20.8,37.2,75.4,3,,,
0.014546755,0.628832757,0.71500659,-0.092511341,-0.00900322,-0.017374553,42:43.2,1355.9,71,0.076734133,0.669621944,0.789943337,-0.066315323,0.010324901,0.004941972,43:21.9,37.8,76.4,3,,,
-0.014810139,0.667193949,0.789090395,-0.031119391,-0.049625758,-0.039976567,42:43.7,1356.4,72,0.032124085,0.584037542,0.653716803,-0.067313142,-0.017119399,-0.020055663,43:23.0,38.3,77.6,3,,,
-0.63486129,0.379484802,0.438898027,-0.112059042,-0.428362191,0.546454072,42:44.2,1356.9,73,0.03770034,0.613051265,0.744006485,-0.013557002,0.039232925,-0.031356669,43:24.1,38.8,78.7,5,,,
0.007515823,0.637573302,0.791283667,-0.05983007,-0.005338028,-0.005768114,42:44.8,1357.5,74,0.010868869,0.625676423,0.453276128,-0.159553796,-0.008567284,0.049888412,43:25.2,39.4,79.8,5,,,
0.063035935,0.633445799,0.752779543,-0.037838921,-0.012973844,-0.039976567,42:45.3,1358,75,0.000670777,0.636602134,0.791283637,-0.073727228,0.023044992,0.060425837,43:26.3,39.9,80.9,5,,,
0.05891436,0.598726511,0.537838936,-0.13435562,-0.01847163,0.033938129,42:45.9,1358.5,76,0.024332891,0.602611184,0.630565584,-0.090526029,0.013423865,0.009571302,43:27.4,40.4,82,5,,,
