,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.046307173,-0.092148297,0.975274801,0.060499974,-0.002517594,-0.061670925,30:19.4,41.4,30,-0.010367097,-0.011328217,0.927875727,0.026075818,-0.004514615,-0.031196934,30:35.3,15.3,42.2,1
0.105463974,-0.037148785,0.910207748,-0.047928613,0.033218022,0.024461072,30:19.9,41.9,31,-0.014933556,-0.000540397,1.011463761,-0.026277205,-0.003834455,0.022218524,30:36.3,15.8,43.2,1
-0.009873426,-0.034495305,0.900947213,0.082906507,-0.024397131,0.109034665,30:20.5,42.5,32,0.025820491,-0.007912649,0.981245339,-0.003341086,0.001885345,0.021572407,30:37.4,16.4,44.3,5
-0.028632935,-0.134362817,0.889249802,0.028539501,-0.030811215,0.247090206,30:21.0,43,33,-0.039656121,-0.08153435,1.053867012,0.014374007,0.006466836,0.025237596,30:38.4,16.9,45.3,5
0.02133524,-0.045591693,1.034493089,0.016322196,0.003702671,0.395835876,30:21.5,43.5,34,-0.068867147,-0.029134283,0.851964176,0.062632356,-0.00452874,0.002482865,30:39.5,17.4,46.4,5
-0.000246836,-0.039319821,0.813703775,0.042894833,-0.010958096,0.425768286,30:22.0,44,35,-0.025177236,-0.14968067,0.937258095,0.007501772,-0.02484001,-0.026533232,30:40.6,17.9,47.5,5
-0.047392443,-0.053793374,0.992089868,-0.050262116,-0.002405982,0.435236692,30:22.6,44.6,36,-0.021635097,-0.081293132,0.859884351,0.013152277,-0.006972205,0.000192121,30:41.6,18.5,48.5,5
-0.035050664,-0.021951558,0.886325419,-0.022467747,-0.007292903,0.29046163,30:23.1,45.1,37,0.008723488,-0.085876417,0.961871505,-0.030157711,0.003368432,-0.019672881,30:42.7,19,49.6,5
0.057944573,-0.048486404,0.916056454,0.099094443,-0.037836164,-0.013443816,30:23.7,45.7,38,0.019516896,-0.139549183,0.956510127,0.009304538,0.010807455,0.033918664,30:43.7,19.6,50.6,5
-0.006664563,-0.088529907,1.044484735,0.053890407,0.038216557,-0.124926724,30:24.2,46.2,39,-0.000444879,-0.070558576,0.977589935,0.005280185,0.009058829,0.02837081,30:44.8,20.1,51.7,5
0.067884855,-0.046556596,0.793964326,-0.190761119,0.078533664,-0.448685318,30:24.7,46.7,40,0.010656645,-0.045832917,0.953951299,-0.001080193,0.029112617,-0.017963253,30:45.9,20.6,52.8,5
0.119768284,-0.018574392,1.028644443,-0.004447222,0.024472089,-0.8937006,30:25.2,47.2,41,-0.079507589,-0.127729114,1.284404278,-0.015522145,-0.007647536,-0.048534179,30:47.0,21.1,53.9,5
0.098190598,0.002427926,1.141476035,-0.047818653,0.05226646,-1.256249189,30:25.8,47.8,42,-0.026905084,-0.205765687,0.979905039,-0.073309688,0.027320748,0.077941626,30:48.0,21.7,54.9,5
0.096735924,-0.209142864,1.035224199,0.000745133,0.146034271,-0.850023746,30:26.3,48.3,43,-0.055908274,-0.046677209,0.888762385,-0.022210501,0.008074741,0.200599529,30:49.1,22.2,56,5
0.014061864,-0.033771627,0.970644593,0.033426426,0.024166657,-0.360720724,30:26.8,48.8,44,-0.118481113,-0.160656448,0.956510097,-0.020988772,-0.038809167,0.250385039,30:50.1,22.7,57,5
-0.031101292,0.051229235,0.934577405,0.008380949,-0.002711414,-0.553448677,30:27.3,49.3,45,-0.127737448,-0.107586749,0.953951299,-0.005158694,-0.000306423,0.000930093,30:51.2,23.2,58.1,3
0.040003575,0.03034907,0.910695136,0.006242916,0.058375113,-0.520461977,30:27.9,49.9,46,-0.099104512,-0.077192288,0.925682485,0.007987011,-0.036470027,-0.009497252,30:52.3,23.8,59.2,3
0.049701411,-0.034977753,0.897048116,0.035259016,-0.007598336,-0.686006427,30:28.4,50.4,47,-0.099598184,-0.051019277,0.958459705,0.013064969,0.015775953,-0.192271769,30:53.3,24.3,60.2,3
0.056974791,-0.031600595,0.946274877,0.023958012,0.02477752,-0.76938951,30:28.9,50.9,48,0.014253827,-0.06392486,0.971131951,0.012454104,0.010278166,-0.708911031,30:54.4,24.8,61.3,3
0.023517253,-0.132191792,0.921661496,-0.000171162,0.029359011,-0.681424916,30:29.5,51.5,49,0.101342395,-0.122180913,0.865123808,-0.024961393,0.068157651,-0.841621518,30:55.4,25.4,62.3,5
0.012364741,-0.11337617,0.95261097,0.019681953,0.009200457,-0.229690105,30:30.0,52,50,0.065824064,-0.126040533,0.91715309,0.01280503,-0.01081376,-0.116728503,30:56.5,25.9,63.4,5
0.002666905,-0.038596142,0.959921837,-0.013381463,0.00424104,-0.022527147,30:30.5,52.5,51,0.095160021,-0.203594655,0.890590101,0.000240335,0.023167059,-0.01434095,30:57.6,26.4,64.5,5
0.008485607,-0.03521898,0.967232823,-0.00046923,0.002343309,0.002149231,30:31.0,53,52,0.065945292,-0.152695991,0.968816787,-0.002399042,0.008761762,-0.020064955,30:58.6,26.9,65.5,5
0.011637404,-0.039078593,0.962358892,-8.26E-05,0.001980046,-0.001730402,30:31.6,53.6,53,0.0844924,-0.147268407,1.009879768,-0.036149347,-0.018116308,0.025139073,30:59.7,27.5,66.6,5
0.016486323,-0.043179438,0.964308441,0.002372988,0.004250832,-0.002543342,30:32.1,54.1,54,0.102312176,-0.302256055,1.203740627,-0.073870275,0.019299187,0.039952554,31:00.7,28,67.6,5
0.011394958,-0.015679682,0.976736963,-0.002245925,0.005315392,-0.026729818,30:32.6,54.6,55,0.057217237,-0.158967871,0.878283471,-0.010951158,0.009372628,-0.026631757,31:01.8,28.5,68.7,5
0.019395674,-0.008442907,0.960652947,0.003143474,0.009006786,-0.039395258,30:33.2,55.2,56,-0.015759666,-0.240984671,1.08786267,0.028602369,0.004791139,-0.053051678,31:02.9,29.1,69.8,5
0.062066156,-0.01640336,0.959434509,-0.006630369,-0.000767058,-0.054361455,30:33.7,55.7,57,0.010401536,-0.210952051,0.911182553,-0.010493008,0.014870415,0.016892392,31:03.9,29.6,70.9,5
0.00945539,-0.033530399,0.943837881,-0.028140485,0.014861397,-0.090084329,30:34.2,56.2,58,-0.005666588,-0.20142363,1.093711436,0.18254042,0.023269811,0.068968657,31:05.0,30.1,71.9,2
-0.019006344,-0.025569946,0.93555218,0.055702783,-0.010165119,-0.040512629,30:34.8,56.8,59,0.042306811,-0.136292633,0.758384585,0.345794149,0.021131785,0.105773283,31:06.1,30.7,73,5
-0.00172785,0.002913511,0.920199275,-0.003551148,0.001135888,-0.021881239,30:35.3,57.3,60,-0.052699412,-0.031554375,0.996232718,-0.001788177,-0.147161596,0.868133128,31:07.1,31.2,74,5
-0.010120261,0.019423407,1.067635894,-0.041730225,-0.000696708,-0.022492105,30:35.8,57.8,61,-0.261522368,-0.009287197,1.192286849,-0.138011128,-0.010480493,1.241829991,31:08.2,31.7,75.1,5
-0.019746851,-0.020504201,0.955291629,-0.010824185,-0.006972201,0.066929154,30:36.3,58.3,62,0.02239636,0.128680065,0.860980958,-0.010034859,-0.032166208,0.089890778,31:09.2,32.2,76.1,3
0.019153228,-0.068025701,0.957241178,0.034074411,-0.019189507,0.066929154,30:36.9,58.9,63,0.129258603,-0.114944141,0.738035887,0.030129533,0.045413676,-0.756310254,31:10.3,32.8,77.2,3
0.032487754,0.052200403,1.0052495,-0.040756583,0.022960197,-0.023784339,30:37.4,59.4,64,0.365850881,-0.006489599,1.156219691,-0.294850782,0.009525344,-1.113513708,31:11.3,33.3,78.2,3
0.017940998,-0.041008402,0.81126684,-0.008686155,0.03487207,0.022030553,30:37.9,59.9,65,0.120131956,0.436176829,1.491302788,0.049677219,-0.246121773,-0.688046128,31:12.4,33.8,79.3,3
-0.097253241,-0.122060299,1.296467185,0.037434168,-0.021938398,0.028444638,30:38.4,60.4,66,0.266326845,-0.080810675,0.993186563,-0.014921781,0.091992155,-0.810830027,31:13.4,34.3,80.3,3
-0.083677284,-0.075021252,0.822476864,0.090884872,-0.019189507,0.017143631,30:39.0,61,67,0.192380838,-0.03425408,0.90898928,-0.033095021,0.034876254,-0.635053545,31:14.5,34.9,81.4,5
-0.05405701,0.016752686,0.881451488,0.03437984,0.010132026,-0.0121779,30:39.5,61.5,68,0.041106569,-0.076347996,0.684788138,0.017912224,0.02953118,-0.275406629,31:15.6,35.4,82.5,5
-0.014316468,-0.236642614,0.948955536,0.038655899,-0.014302584,-0.01095617,30:40.0,62,69,0.113222245,0.02651141,1.007199109,0.002793312,0.022964378,-0.486766011,31:16.6,35.9,83.5,5
-0.036038004,-0.062718727,0.925560653,-0.023652356,-0.035377435,-0.042110294,30:40.6,62.6,70,0.176258184,-0.045281533,0.930556387,0.224842835,-0.011244074,-0.183776841,31:17.7,36.5,84.6,5
-0.115519077,-0.036183886,0.713300645,0.046902582,-0.079054303,-0.016453957,30:41.1,63.1,71,-0.011610055,0.178452544,0.863661647,0.001571581,0.079469416,0.02040487,31:18.7,37,85.6,5
0.072248884,-0.126402378,1.006468058,-0.020598028,0.065109894,0.016838199,30:41.6,63.6,72,0.008336356,0.10977671,1.061177909,0.008749248,0.015939428,0.09080709,31:19.8,37.5,86.7,5
0.072491325,-0.148836374,0.965283275,0.02094081,-0.007277633,-0.005763815,30:42.1,64.1,73,-0.048379787,0.11702602,0.913985044,0.001651686,0.014272709,0.044975221,31:20.9,38,87.8,5
-0.055044349,-0.02291646,0.958459735,-0.081256233,0.014014497,-0.033581946,30:42.7,64.7,74,-0.010247564,0.095538878,0.93896395,-0.061878297,7.00923E-05,0.177532986,31:21.9,38.6,88.8,3
0.033457536,-0.233265445,1.000862956,0.015871339,-0.006449488,0.038500153,30:43.2,65.2,75,0.02838035,0.155872829,1.065198928,-0.226811916,0.056269696,-0.238924421,31:23.0,39.1,89.9,5
0.005576256,-0.045832921,0.912157297,0.002737738,0.028064398,0.029337175,30:43.7,65.7,76,0.040377035,0.10427941,0.966136158,-0.083105866,0.055658832,-0.758770734,31:24.0,39.6,90.9,2
