acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,
0.022305025,-0.016162137,0.964064717,-0.007348031,0.000493905,0.003876235,30:06.4,47.7,1,0.019638119,-0.020986654,0.964673996,0.002828144,-0.000112402,0.00412203,30:06.9,0,0.5,5,,
0.016971214,-0.025811171,0.965283275,0.013004318,-0.000718708,0.004367824,30:06.9,48.2,2,0.022668693,-0.019901136,0.966745406,0.010975368,5.7735E-05,0.003606329,30:07.9,0.5,1.5,5,,
0.02497193,-0.023398912,0.965039551,0.013136141,0.001712689,0.00334153,30:07.4,48.7,3,0.015637761,-0.024001976,0.968207598,0.00604352,-0.000344349,0.004142547,30:09.0,1,2.6,5,,
0.020365456,-0.01640336,0.968451262,0.008814596,-0.001597219,0.003871128,30:07.9,49.2,4,0.015880208,-0.024605041,0.967720211,0.005760625,-0.001005401,0.004043694,30:10.0,1.5,3.6,5,,
0.014304309,-0.026293622,0.968451262,0.006158777,-0.000663273,0.002545949,30:08.5,49.8,5,0.016728769,-0.02617301,0.966867238,0.006311376,-0.000476808,0.00186878,30:11.1,2.1,4.7,5,,
0.016971214,-0.021710331,0.967963934,0.005928263,-2.54E-05,0.005739146,30:09.0,50.3,6,0.016486323,-0.023640138,0.965405077,0.00671633,-0.001156556,0.001568708,30:12.2,2.6,5.8,5,,
0.016001431,-0.025328718,0.967720211,0.00539504,-0.00239669,0.002885538,30:09.5,50.8,7,0.016607545,-0.022795848,0.966257989,0.006255329,-0.001816684,0.002878002,30:13.3,3.1,6.9,5,,
0.015758984,-0.023881365,0.967720211,0.00612621,0.000385887,0.005201849,30:10.0,51.3,8,0.017213661,-0.021710331,0.9669891,0.003333364,-0.003944717,0.003317278,30:14.4,3.6,8,5,,
0.016001431,-0.023640137,0.967720211,0.005937159,-0.002004134,0.002361101,30:10.6,51.9,9,0.017092437,-0.023278298,0.966745406,0.006912049,0.000261333,0.002083269,30:15.5,4.2,9.1,5,,
0.017456107,-0.028705882,0.966014266,0.006685592,0.001050517,0.001376459,30:11.1,52.4,10,0.014061864,-0.021589719,0.965039521,-0.03250825,-0.000747418,0.002805465,30:16.6,4.7,10.2,5,,
0.015031647,-0.025328718,0.965039551,0.008784391,-0.002237319,0.001610692,30:11.6,52.9,11,0.020850349,0.000313316,0.967110932,0.036822941,-0.001656668,0.014927096,30:17.7,5.2,11.3,5,,
0.017940998,-0.021951558,0.965770602,0.004648268,-7.58E-05,0.001526724,30:12.2,53.5,12,-0.045496771,0.010819959,1.021699011,-0.036905823,-0.040292175,0.0878166,30:18.7,5.8,12.3,5,,
0.016728768,-0.019780524,0.966745377,0.006249711,-0.000928741,0.004748846,30:12.7,54,13,-0.024436729,-0.009304408,0.970035315,0.019164577,-0.007285335,0.46523501,30:19.8,6.3,13.4,5,,
0.016486323,-0.025811171,0.965770602,0.006260946,-0.002704628,0.001007158,30:13.3,54.6,14,-0.212525494,0.014324762,0.950783253,-0.061316917,-0.073716931,1.128023744,30:20.8,6.9,14.4,5,,
